dataset,metric,method_variant,score_pct,ok,num_examples,failed,truncate_count,truncate_rate,prompt_truncate_count,avg_latency_s,p95_latency_s,total_elapsed_s,throughput_req_s,avg_k_bits,avg_v_bits,avg_kv_bits,precision_distribution,pm_cache_wide_coverage,source,file
narrativeqa,qa_f1,kvtuner_pertoken_c4_00,24.47,200,200,0,0,0.0,200,7.9673927729600384,19.078729184999247,200.86506958299833,0.9956932801467461,5.128458831484298,3.435770584257851,4.282114707871075,"2:0.14, 4:0.72, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_narrativeqa_burst_c8.json
narrativeqa,qa_f1,kvtuner_kivi_c3_92,24.14,200,200,0,0,0.0,200,8.701195419909963,20.482285722000597,219.24698608500148,0.9122132238682658,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_narrativeqa_burst_c8.json
narrativeqa,qa_f1,kvquant,25.16,200,200,0,0,0.0,200,4.659569822054964,10.495309384001303,117.45988875499825,1.7027089172301761,3.001725287888275,3.001725287888275,3.001725287888275,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_narrativeqa_burst_c8.json
narrativeqa,qa_f1,pmkvq_cachewide_mem132,24.28,200,200,0,0,0.0,200,6.8105473296899985,15.577397516000929,171.47540533899883,1.1663480229401377,4.877579266999559,4.877579266999559,4.877579266999559,"4:0.81, 8:0.18, 16:0.01",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_narrativeqa_burst_c8.json
hotpotqa,qa_f1,baseline,49.42,200,200,0,15,0.075,176,2.4823466992300744,8.420829796999897,62.40826238200134,3.2047038703913726,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_hotpotqa_burst_c8.json
hotpotqa,qa_f1,kivi2,49.8,200,200,0,14,0.07,176,8.214171118164995,26.683397613000125,206.77834599699963,0.9672192658069816,2.183417429457498,2.2419188191487343,2.212668124303116,"2:0.98, 16:0.02",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_hotpotqa_burst_c8.json
hotpotqa,qa_f1,kivi4,49.11,200,200,0,13,0.065,176,8.427522123164927,33.525131919999694,212.31198650799888,0.9420099321263002,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_hotpotqa_burst_c8.json
hotpotqa,qa_f1,kvtuner_pertoken_c4_00,48.57,200,200,0,15,0.075,176,7.728980287309996,29.350956837000922,194.60733455199988,1.0277104943676167,5.133252791743863,3.4333736041280685,4.283313197935966,"2:0.14, 4:0.72, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_hotpotqa_burst_c8.json
hotpotqa,qa_f1,kvtuner_kivi_c3_92,48.48,200,200,0,14,0.07,176,8.377774245570045,30.26478609300102,210.66980534200047,0.949352944411378,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_hotpotqa_burst_c8.json
hotpotqa,qa_f1,kvquant,48.72,200,200,0,13,0.065,176,4.5843724979850045,18.090457190999587,116.45842296999945,1.71735109320106,3.001781491445208,3.001781491445208,3.001781491445208,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_hotpotqa_burst_c8.json
hotpotqa,qa_f1,pmkvq_cachewide_mem132,49.32,200,200,0,14,0.07,176,6.662739514779914,26.34402351099925,168.6930001389992,1.1855856486944008,4.894648012958465,4.894648012958465,4.894648012958465,"4:0.81, 8:0.18, 16:0.01",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_hotpotqa_burst_c8.json
passage_retrieval_en,retrieval,baseline,67.5,200,200,0,34,0.17,200,2.6696940823849764,9.160233661998063,67.12181546400097,2.979657189207952,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,kivi2,65.0,200,200,0,31,0.155,200,8.86738543197508,36.86218948499845,222.64144011999997,0.898305364411061,2.174977471228918,2.2377110630895087,2.206344267159213,"2:0.99, 16:0.01",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,kivi4,67.5,200,200,0,34,0.17,200,9.156135387634977,39.63387990499905,230.18567762400016,0.868863788852635,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,kvtuner_pertoken_c4_00,65.5,200,200,0,34,0.17,200,8.383175488714969,31.706985924000037,210.7662873219997,0.9489183613812421,5.1166371380154345,3.4416814309922827,4.279159284503859,"2:0.14, 4:0.72, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,kvtuner_kivi_c3_92,66.0,200,200,0,35,0.175,200,8.977668067650084,35.16856736299815,225.7918623810001,0.8857715149296256,3.9832393837450355,4.012700315488531,3.997969849616783,"2:0.57, 4:0.15, 8:0.28, 16:0.00",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,kvquant,64.0,200,200,0,33,0.165,200,5.105018433969945,19.001292371998716,129.42377939699873,1.545311077545599,3.001724835252979,3.001724835252979,3.001724835252979,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_passage_retrieval_en_burst_c8.json
passage_retrieval_en,retrieval,pmkvq_cachewide_mem132,66.5,200,200,0,32,0.16,200,7.247195726195059,27.52554767699985,182.01881004100142,1.0987875371504086,4.858509825605047,4.858509825605047,4.858509825605047,"4:0.81, 8:0.18, 16:0.01",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_passage_retrieval_en_burst_c8.json
passage_count,count,baseline,6.5,200,200,0,0,0.0,189,2.4905201820348704,4.390512197001954,63.13878734000173,3.167624980236032,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_passage_count_burst_c8.json
passage_count,count,kivi2,6.5,200,200,0,0,0.0,189,6.692549645129921,14.035177867001039,168.220421901,1.1889162905423143,2.194419201921551,2.2392818078726346,2.216850504897093,"2:0.98, 16:0.02",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_passage_count_burst_c8.json
passage_count,count,kivi4,6.5,200,200,0,0,0.0,189,6.855717418970053,14.292962941000951,173.0507477480005,1.155730342704115,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_passage_count_burst_c8.json
passage_count,count,kvtuner_pertoken_c4_00,6.5,200,200,0,0,0.0,189,6.105854016814992,11.752331194000362,153.363766389999,1.3040889951242238,5.135828479940599,3.4320857600297003,4.28395711998515,"2:0.14, 4:0.72, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_passage_count_burst_c8.json
passage_count,count,kvtuner_kivi_c3_92,6.5,200,200,0,0,0.0,189,7.098464490895039,14.605923451999843,180.3795088579991,1.1087733926443208,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_passage_count_burst_c8.json
passage_count,count,kvquant,5.0,200,200,0,0,0.0,189,3.801423866549994,3.9054504460000317,95.0449272829992,2.10426801005901,3.001735327551203,3.001735327551203,3.001735327551203,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_passage_count_burst_c8.json
passage_count,count,pmkvq_cachewide_mem132,6.5,200,200,0,0,0.0,189,5.424300596429966,9.847770450000098,136.15069677599604,1.4689605322332868,4.870912107673711,4.870912107673711,4.870912107673711,"4:0.81, 8:0.18, 16:0.01",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_passage_count_burst_c8.json
qmsum,rouge_l,baseline,17.73,200,200,0,0,0.0,172,4.216358950390149,6.930801472000894,106.22371767999721,1.8828186808760283,BF16,BF16,BF16,BF16/FP16,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/baseline_qmsum_burst_c8.json
qmsum,rouge_l,kivi2,17.24,200,200,0,0,0.0,172,18.451896038475034,31.139981342999818,466.26393883199853,0.42894160011817434,2.110585511444914,2.243230244489619,2.1769078779672664,"2:0.99, 16:0.01",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi2_qmsum_burst_c8.json
qmsum,rouge_l,kivi4,17.91,200,200,0,0,0.0,172,17.118707724299995,30.319496430000072,431.1916720900008,0.46383085051386347,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kivi4_qmsum_burst_c8.json
qmsum,rouge_l,kvtuner_pertoken_c4_00,17.25,200,200,0,0,0.0,172,15.675477945815038,26.883324250999067,395.2075222019994,0.5060632421307395,5.140475822637558,3.429762088681221,4.28511895565939,"2:0.14, 4:0.71, 8:0.14",1.0,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_pertoken_c4_00_qmsum_burst_c8.json
qmsum,rouge_l,kvtuner_kivi_c3_92,17.59,200,200,0,0,0.0,172,16.852469130260005,28.999283840001226,425.3428277290004,0.4702089396166483,,,,,,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvtuner_kivi_c3_92_qmsum_burst_c8.json
qmsum,rouge_l,kvquant,17.43,200,200,0,0,0.0,172,16.33027660175995,27.56827123199946,414.3535743150005,0.48267955774397564,3.001760822966085,3.001760822966085,3.001760822966085,"3:1.00, 16:0.00",,new_20260528,/root/atc_vllm_sched/results/fake_quant/formal/longbench6_200_chat_c8_repaired_20260528/kvquant_qmsum_burst_c8.json
qmsum,rouge_l,pmkvq_cachewide_mem132,17.65,200,200,0,0,0.0,172,18.102035092219992,31.576153633002832,457.94407513699844,0.4367345509168735,4.8124874862056854,4.8124874862056854,4.8124874862056854,"4:0.81, 8:0.18, 16:0.01",1.0,reused_20260526_pm,/root/atc_vllm_sched/results/fake_quant/formal/multitask_longbench_math_200_chat_c8_20260526/pmkvq_cachewide_mem132_qmsum_burst_c8.json
